,fips,TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,POP_ESTIMATE_2018,N_POP_CHG_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Active Physicians per 100000 Population 2018 (AAMC),Total Active Patient Care Physicians per 100000 Population 2018 (AAMC),Active Primary Care Physicians per 100000 Population 2018 (AAMC),Active Patient Care Primary Care Physicians per 100000 Population 2018 (AAMC),Active General Surgeons per 100000 Population 2018 (AAMC),Active Patient Care General Surgeons per 100000 Population 2018 (AAMC),Total nurse practitioners (2019),Total physician assistants (2019),Total Hospitals (2019),Internal Medicine Primary Care (2019),Family Medicine/General Practice Primary Care (2019),Total Specialist Physicians (2019),ICU Beds_x,Total Population,Population Aged 60+,Percent of Population Aged 60+,STATE_FIPS,CNTY_FIPS,county_pop2018_18 and older,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,Urban_rural_code,COUNTY_NAME_n,STATE_NAME_n,Heart disease_number
2252,42021,131730,13324,10.11462841,15735,11.94488727,15356,11.65717756,13456,10.21483337,15132,11.48713277,18372,13.94670918,20097,15.25620588,12027,9.130038716,8231,6.248386852,123829,94.00212556,4792,3.63774387,193,0.146511804,732,0.555682077,75,0.056934639,2109,1.60100205,131730,-1324,5980,9.8,13.2,-3.5,0.4,-6.9,-6.5,8351,43146,23989,20583,8.7,44.9,25.0,21.4,18520,14.7,22.6,21.7,45163,42204,48122,58344,55313,3031,5.2,45163,74.2,320.5,273.3,100.8,88.2,8.7,7.2,72.03098838,58.30982052,2.046860872,106.7247659,74.09842071,275.3182159,30,135871,39200,28.9,42,21,106421,45.8,43.4,48.0,48705,33.0,31.4,34.6,35119,8.8,7.9,9.7,9.1,7.7,10.5,9729,12.8,11.6,13.8,13586,3.4,3.2,3.7,3627,4,1380,38,9325
1057,21133,21899,2627,11.99598155,2530,11.55303895,2298,10.49362985,2593,11.84072332,2735,12.48915476,3181,14.52577743,3225,14.72669985,1873,8.552901959,837,3.822092333,21499,98.17343258,131,0.598200831,42,0.191789579,48,0.219188091,0,0.0,179,0.817388922,21899,-429,243,11.8,13.3,-1.5,0.0,-18.0,-18.0,4005,6056,4216,1893,24.8,37.5,26.1,11.7,6717,31.1,36.0,35.9,32321,29084,35558,6316,5904,412,6.5,32321,64.4,230.9,214.6,77.3,72.9,8.3,7.6,14.37911495,4.832245174,0.514590003,9.67919292,9.311628631,31.63993392,6,23011,5498,23.9,21,133,17160,64.2,62.1,66.2,11012,40.5,38.8,42.2,6950,12.9,11.7,14.2,16.8,14.7,19.1,2891,18.7,17.2,20.1,3203,4.3,3.9,4.7,731,6,725,17,2212
511,13257,26035,3105,11.92625312,3488,13.39734972,3535,13.57787594,2734,10.50124832,2919,11.21183023,3418,13.12848089,3431,13.17841367,2394,9.195314,1011,3.883234108,22138,85.03168811,2870,11.02362205,132,0.507009795,238,0.914154023,22,0.084501632,635,2.43902439,26035,250,775,11.1,13.7,-2.6,0.0,12.2,12.3,2856,6343,4260,3826,16.5,36.7,24.6,22.1,4092,16.3,25.6,24.1,45850,43064,48636,10964,10468,496,4.5,45850,78.2,228.7,202.9,79.1,71.9,7.0,6.1,11.91680431,8.234103413,0.358865343,12.32021845,8.441997818,31.64944829,6,25625,6327,24.7,13,257,20248,46.5,44.5,48.7,9425,32.7,31.1,34.4,6621,8.5,7.7,9.4,9.9,8.4,11.4,1996,13.3,12.3,14.4,2697,3.5,3.2,3.7,700,5,421,10,1716
1315,27007,46847,6825,14.56870237,6772,14.45556813,7502,16.01383226,5588,11.92819177,4485,9.573718701,5306,11.3262322,5320,11.35611672,3099,6.61515145,1950,4.162486392,34265,73.14235703,376,0.802612761,10291,21.96725511,352,0.751382159,22,0.046961385,1541,3.289431554,46847,363,2095,14.2,9.3,4.9,0.8,2.1,2.9,2437,7906,9914,7907,8.7,28.1,35.2,28.1,8220,18.4,23.6,22.3,47073,43045,51101,24088,23100,988,4.1,47073,67.0,302.7,265.0,104.9,96.0,7.4,6.6,24.04474354,15.12815114,1.060306399,26.84161475,29.27113571,78.33744049,10,45847,9482,20.7,27,7,35078,42.3,40.5,44.1,14852,35.4,33.9,36.7,12418,7.4,6.7,8.1,6.6,5.7,7.6,2325,10.8,10.0,11.6,3799,3.2,3.0,3.4,1123,5,896,23,2596
1729,31155,21303,2761,12.96061588,2872,13.48166925,2171,10.1910529,2504,11.75421302,2323,10.90456743,3246,15.23729052,2739,12.85734404,1657,7.778247195,1030,4.834999765,20669,97.02389335,117,0.54921842,104,0.488194151,88,0.413087359,1,0.004694175,324,1.520912548,21303,284,334,11.9,9.2,2.7,0.3,10.4,10.8,1035,4253,5370,3620,7.2,29.8,37.6,25.4,1637,7.8,8.3,7.1,67897,62680,73114,10948,10650,298,2.7,67897,113.7,239.2,214.5,88.2,80.3,6.8,6.2,11.53890232,9.07653369,1.026907096,9.871558539,13.91293485,30.31032236,0,20953,5028,24.0,31,155,16129,45.7,43.4,47.9,7371,36.5,34.7,38.4,5887,6.9,6.2,7.7,6.8,5.7,7.9,1098,10.2,9.2,11.1,1643,2.8,2.6,3.1,458,3,1100,27,1114
100,4012,21098,1934,9.166745663,1957,9.275760736,1914,9.071949948,1801,8.536354157,1609,7.626315291,2243,10.63133946,3035,14.38524979,4224,20.02085506,2381,11.2854299,16143,76.51436155,256,1.213385155,3837,18.18655797,205,0.971656081,29,0.137453787,628,2.976585458,21098,363,388,9.9,14.6,-4.7,3.5,18.5,21.9,3606,5248,5084,1972,22.7,33.0,32.0,12.4,4921,23.7,31.8,32.2,37350,33870,40830,8938,8381,557,6.2,37350,63.2,242.0,224.0,78.1,73.2,6.9,6.1,10.01115978,5.707214216,0.244174629,9.781694467,7.910669601,27.26812813,3,20477,9183,44.8,4,12,17558,54.5,52.3,56.6,9566,34.6,33.1,36.0,6075,14.5,12.9,16.1,12.6,10.7,14.5,2215,17.7,16.3,19.0,3108,5.5,5.1,6.0,970,6,100,2,2538
12,1025,23920,2704,11.30434783,3045,12.72993311,2911,12.16973244,2557,10.68979933,2871,12.00250836,3419,14.29347826,2996,12.52508361,2220,9.280936455,1197,5.004180602,12781,53.43227425,10674,44.62374582,126,0.526755853,104,0.434782609,5,0.02090301,230,0.961538462,23920,-177,280,11.1,12.8,-1.7,-0.1,-5.5,-5.6,3175,7372,4205,2118,18.8,43.7,24.9,12.6,5381,22.8,31.7,31.4,40741,36839,44643,7627,7057,570,7.5,40741,81.7,217.1,196.7,77.2,71.2,7.6,6.9,12.41543404,2.618154203,0.494268363,11.18221001,9.141517851,31.03613823,0,24625,6134,24.9,1,25,18725,57.4,55.7,58.9,10741,40.5,39.2,41.7,7584,10.7,9.9,11.5,11.5,10.3,12.8,2161,19.1,18.1,20.1,3575,4.3,4.1,4.6,811,6,12,0,2003
644,17103,34223,3602,10.52508547,3827,11.18253806,4064,11.87505479,4283,12.51497531,4196,12.26076031,5033,14.70648394,4604,13.452941,2815,8.225462408,1799,5.256698711,31369,91.66057914,1904,5.56350992,125,0.365251439,289,0.844461327,17,0.049674196,519,1.516523975,34223,-288,3035,9.5,11.8,-2.3,0.2,-6.4,-6.1,2785,8532,9232,4418,11.2,34.2,37.0,17.7,3148,10.1,14.3,13.3,54915,50123,59707,17831,17043,788,4.4,54915,84.4,284.4,240.5,99.6,87.2,7.0,5.8,13.33079684,6.693601798,0.502288738,25.92293377,16.26126215,57.43819456,6,34670,8585,24.8,17,103,27483,45.5,43.2,47.6,12494,33.7,32.0,35.3,9262,7.9,7.1,8.8,8.8,7.5,10.2,2411,11.2,10.3,12.1,3071,3.2,2.9,3.4,873,5,40,13,2173
1691,31079,61607,9376,15.21904978,8982,14.57951207,7724,12.53753632,8045,13.05858101,7229,11.73405619,7524,12.21289788,6464,10.49231419,3847,6.244420277,2416,3.921632282,55992,90.88577597,2277,3.69600857,1192,1.934845066,891,1.446264223,277,0.449624231,978,1.587481942,61607,230,1039,15.1,8.7,6.4,5.9,-8.6,-2.7,6026,12202,12887,8235,15.3,31.0,32.7,20.9,7839,13.0,18.4,16.0,53792,49388,58196,31628,30629,999,3.2,53792,90.1,239.2,214.5,88.2,80.3,6.8,6.2,33.36981435,26.24879177,2.969753813,28.54795601,40.23537425,87.65563675,16,61233,11885,19.4,31,79,44687,45.8,44.1,47.3,20472,37.3,36.0,38.5,16668,6.7,6.0,7.4,6.9,5.9,8.0,3103,11.0,10.2,11.8,4937,3.0,2.8,3.2,1331,4,388,27,2997
778,18167,107386,12223,11.38230309,13949,12.98958896,19363,18.0312145,12936,12.04626301,12027,11.19978396,12815,11.93358538,12159,11.32270501,7498,6.982288194,4416,4.112267893,94359,87.86899596,7837,7.297971803,417,0.388318775,2171,2.021678804,43,0.040042464,2559,2.382992196,107386,-295,9587,11.7,11.0,0.7,1.2,-4.5,-3.4,8236,22265,21677,16918,11.9,32.2,31.4,24.5,18824,19.2,21.6,18.2,48335,46002,50668,49142,46989,2153,4.4,48335,86.7,230.8,212.0,80.3,74.4,6.5,6.1,55.4110308,13.55989604,2.118232281,42.22022069,53.32489295,139.7070473,54,107723,22306,20.7,18,167,85421,46.2,43.9,48.3,39450,32.2,30.7,33.7,27506,7.6,6.9,8.4,9.8,8.3,11.2,8351,12.0,11.1,13.0,10277,3.1,2.9,3.3,2649,4,575,14,6495
